meter_name,TIMESTAMP,TRENDFLAGS,STATUS,VALUE,TRENDFLAGS_TAG,STATUS_TAG
AAA069_AAA069_dba_kwh,1455908400018,0,0,56239.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455910200014,0,0,56244.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455912000005,0,0,56248.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455913800010,0,0,56254.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455915600010,0,0,56258.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455917400019,0,0,56264.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455919200019,0,0,56269.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455921000020,0,0,56274.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455922800007,0,0,56280.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455924600006,0,0,56284.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455926400015,0,0,56290.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455928200021,0,0,56295.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455930000016,0,0,56299.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455931800011,0,0,56305.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455933600431,0,0,56309.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455935400015,0,0,56315.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455937200017,0,0,56320.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455939000014,0,0,56324.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455940800006,0,0,56330.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455942600007,0,0,56335.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455944400020,0,0,56340.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455946200009,0,0,56345.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455948000003,0,0,56350.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455949800007,0,0,56355.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455951600012,0,0,56361.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455953400002,0,0,56364.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455955200017,0,0,56370.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455957000011,0,0,56375.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455958800004,0,0,56378.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455960600008,0,0,56383.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455962400002,0,0,56388.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455964200009,0,0,56393.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455966000015,0,0,56397.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455967800011,0,0,56402.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455969600015,0,0,56407.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455971400003,0,0,56412.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455973200018,0,0,56416.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455975000006,0,0,56421.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455976800004,0,0,56425.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455978600006,0,0,56430.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455980400015,0,0,56435.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455982200011,0,0,56440.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455984000004,0,0,56444.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455985800017,0,0,56449.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455987600004,0,0,56454.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455989400009,0,0,56459.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455991200009,0,0,56464.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455993000001,0,0,56468.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455994800020,0,0,56474.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455996600017,0,0,56479.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455998400009,0,0,56484.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456000200015,0,0,56489.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1456002000013,0,0,56495.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1456003800006,0,0,56500.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1456005600018,0,0,56505.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456007400007,0,0,56510.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1456009200015,0,0,56516.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1456011000004,0,0,56522.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1456012800002,0,0,56527.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1456014600006,0,0,56532.0,{ },{ok}
AAA069_AAA069_dba_kwh,1456016400014,0,0,56537.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456018200019,0,0,56543.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1456020000006,0,0,56547.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1456021800006,0,0,56553.0,{ },{ok}
AAA069_AAA069_dba_kwh,1456023600003,0,0,56558.5,{ },{ok}
AAA069_AAA069_dba_kwh,1456025400020,0,0,56562.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456027200004,0,0,56568.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456029000009,0,0,56573.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1456030800020,0,0,56579.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1456032600008,0,0,56583.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1456034400006,0,0,56588.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1456036200004,0,0,56594.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1456038000002,0,0,56598.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1456039800001,0,0,56603.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456041600012,0,0,56608.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1456043400018,0,0,56612.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1456045200008,0,0,56617.5,{ },{ok}
AAA069_AAA069_dba_kwh,1456047000011,0,0,56621.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1456048800011,0,0,56626.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1456050600003,0,0,56631.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1456052400002,0,0,56636.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456054200017,0,0,56641.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456056000008,0,0,56646.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1456057800002,0,0,56650.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1456059600004,0,0,56655.5,{ },{ok}
AAA069_AAA069_dba_kwh,1456061400015,0,0,56660.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456063200007,0,0,56665.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456065000012,0,0,56670.5,{ },{ok}
AAA069_AAA069_dba_kwh,1456066800006,0,0,56674.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456068600009,0,0,56679.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1456070400021,0,0,56684.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1456072200016,0,0,56689.5,{ },{ok}
AAA069_AAA069_dba_kwh,1456074000015,0,0,56694.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456075800012,0,0,56698.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1456077600012,0,0,56703.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1456079400006,0,0,56709.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1456081200006,0,0,56714.5,{ },{ok}
AAA069_AAA069_dba_kwh,1456083000005,0,0,56718.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1456084800020,0,0,56724.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1456086600017,0,0,56729.69921875,{ },{ok}
